    DATE,remainder
1930-12-29,-92.67246319319725
1930-12-30,-82.67263527927457
1930-12-31,-80.6728073653519
1931-01-01,-64.75916109205423
1931-01-02,-64.75933317813156
1931-01-03,-77.75950526420888
1931-01-04,-29.75967735028621
1931-01-05,-81.75984943636354
1931-01-06,-94.76002152244087
1931-01-07,-107.7601936085182
1931-01-08,-119.76036569459552
1931-01-09,-123.76053778067285
1931-01-10,-136.76070986675018
1931-01-11,-108.7608819528275
1931-01-12,-86.76105403890483
1931-01-13,-96.76122612498216
1931-01-14,-99.76139821105949
1931-01-15,-114.76157029713681
1931-01-16,-57.76174238321414
1931-01-17,-65.76191446929147
1931-01-18,-79.7620865553688
1931-01-19,-80.76225864144612
1931-01-20,-94.76243072752345
1931-01-21,-108.76260281360078
1931-01-22,-133.7627748996781
1931-01-23,-62.762946985755434
1931-01-24,-48.76311907183276
1931-01-25,-54.76329115791009
1931-01-26,-62.76346324398742
1931-01-27,-77.76363533006474
1931-01-28,-80.76380741614207
1931-01-29,-91.7639795022194
1931-01-30,-92.76415158829673
1931-01-31,-99.76432367437405
1931-02-01,-114.36386099482638
1931-02-02,-123.36403308090371
1931-02-03,-127.36420516698102
1931-02-04,-140.36437725305836
1931-02-05,-155.3645493391357
1931-02-06,-159.36472142521302
1931-02-07,-157.36489351129035
1931-02-08,-164.36506559736767
1931-02-09,-146.365237683445
1931-02-10,-87.36540976952232
1931-02-11,-73.36558185559964
1931-02-12,-77.36575394167697
1931-02-13,-92.3659260277543
1931-02-14,-117.36609811383163
1931-02-15,-149.36627019990897
1931-02-16,-97.36644228598628
1931-02-17,-94.36661437206361
1931-02-18,-88.36678645814094
1931-02-19,-97.36695854421826
1931-02-20,-95.36713063029559
1931-02-21,-90.36730271637292
1931-02-22,-88.36747480245025
1931-02-23,-92.36764688852757
1931-02-24,-99.3678189746049
1931-02-25,-81.36799106068223
1931-02-26,-31.368163146759557
1931-02-27,-75.36833523283688
1931-02-28,-55.36850731891421
1931-03-01,-134.91628682686655
1931-03-02,-135.91645891294388
1931-03-03,-128.9166309990212
1931-03-04,-157.91680308509854
1931-03-05,-164.91697517117586
1931-03-06,-175.9171472572532
1931-03-07,-174.91731934333052
1931-03-08,-186.91749142940785
1931-03-09,-170.91766351548517
1931-03-10,-172.9178356015625
1931-03-11,-184.91800768763983
1931-03-12,-135.91817977371716
1931-03-13,-126.91835185979447
1931-03-14,-115.9185239458718
1931-03-15,-116.91869603194912
1931-03-16,-139.91886811802647
1931-03-17,-142.9190402041038
1931-03-18,-120.91921229018111
1931-03-19,-93.91938437625844
